Softrondetijd:	Mediumrondetijd:	Hardrondetijd	pitstoptijd	maxpitstops	totale ronden
107.4	107.6	107.9	23.0	1	50
ronde 	 rondetijd 	 bandtype 	 bandronde
0	Medium	110.6	0
1	Medium	110.6275	1
2	Medium	110.65499999999999	2
3	Medium	110.68249999999999	3
4	Medium	110.71	4
5	Medium	110.7375	5
6	Medium	110.765	6
7	Medium	110.79249999999999	7
8	Medium	110.82	8
9	Medium	110.84749999999998	9
10	Medium	110.875	10
11	Medium	110.9025	11
12	Medium	110.92999999999999	12
13	Medium	110.9575	13
14	Medium	110.98499999999999	14
15	Medium	111.01249999999999	15
16	Medium	111.04	16
17	Medium	111.0675	17
18	Medium	111.095	18
19	Medium	111.12249999999999	19
20	Medium	111.14999999999999	20
21	Medium	111.1775	21
22	Medium	111.205	22
23	Medium	111.2325	23
24	Medium	110.76125	24
25	Medium	110.87625	25
26	Medium	110.99125	26
27	Medium	111.10624999999999	27
28	Medium	111.22124999999998	28
29	Hard	109.26150000000001	1
30	Hard	109.30300000000001	2
31	Hard	109.34450000000001	3
32	Hard	109.38600000000001	4
33	Hard	109.4275	5
34	Hard	109.469	6
35	Hard	109.51050000000001	7
36	Hard	109.552	8
37	Hard	109.5935	9
38	Hard	109.635	10
39	Hard	109.6765	11
40	Hard	109.718	12
41	Hard	109.75950000000002	13
42	Hard	109.80100000000002	14
43	Hard	109.8425	15
44	Hard	109.884	16
45	Hard	109.9255	17
46	Hard	109.967	18
47	Hard	110.00850000000001	19
48	Hard	110.05000000000001	20
49	Hard	110.09150000000001	21
50	Hard	110.13300000000001	22
Totale race tijd:	5653.285749999999
