Softrondetijd:	Mediumrondetijd:	Hardrondetijd	pitstoptijd	maxpitstops	totale ronden
107.4	107.6	107.9	23.0	2	50
ronde 	 rondetijd 	 bandtype 	 bandronde
0	Medium	110.6	0
1	Medium	110.6275	1
2	Medium	110.65499999999999	2
3	Medium	110.68249999999999	3
4	Medium	110.71	4
5	Medium	110.7375	5
6	Medium	110.765	6
7	Medium	110.79249999999999	7
8	Medium	110.82	8
9	Medium	110.84749999999998	9
10	Medium	110.875	10
11	Medium	110.9025	11
12	Medium	110.92999999999999	12
13	Medium	110.9575	13
14	Medium	110.98499999999999	14
15	Medium	111.01249999999999	15
16	Medium	111.04	16
17	Medium	111.0675	17
18	Medium	111.095	18
19	Medium	111.12249999999999	19
20	Medium	111.14999999999999	20
21	Medium	111.1775	21
22	Hard	109.67800000000001	1
23	Hard	109.71600000000001	2
24	Hard	109.754	3
25	Hard	109.792	4
26	Hard	109.83	5
27	Hard	109.868	6
28	Hard	109.906	7
29	Hard	109.94400000000002	8
30	Hard	109.98200000000001	9
31	Hard	110.02000000000001	10
32	Hard	110.058	11
33	Hard	110.096	12
34	Hard	110.134	13
35	Hard	110.17200000000001	14
36	Hard	110.21000000000001	15
37	Hard	110.248	16
38	Soft	108.28960000000001	1
39	Soft	108.39920000000001	2
40	Soft	108.5088	3
41	Soft	108.61840000000001	4
42	Soft	108.72800000000001	5
43	Soft	108.83760000000001	6
44	Soft	108.94720000000001	7
45	Soft	109.05680000000001	8
46	Soft	109.1664	9
47	Soft	109.27600000000001	10
48	Soft	109.38560000000001	11
49	Soft	109.49520000000001	12
50	Soft	109.60480000000001	13
