Softrondetijd:	Mediumrondetijd:	Hardrondetijd	pitstoptijd	maxpitstops	totale ronden
103.15	103.4	103.7	23.0	1	52
ronde 	 rondetijd 	 bandtype 	 bandronde
0	Medium	106.4	0
1	Medium	106.4303076923077	1
2	Medium	106.4606153846154	2
3	Medium	106.49092307692308	3
4	Medium	106.52123076923078	4
5	Medium	106.55153846153847	5
6	Medium	106.58184615384617	6
7	Medium	106.61215384615384	7
8	Medium	106.64246153846153	8
9	Medium	106.67276923076923	9
10	Medium	106.70307692307692	10
11	Medium	106.73338461538462	11
12	Medium	106.76369230769231	12
13	Medium	106.79400000000001	13
14	Medium	106.8243076923077	14
15	Medium	106.85461538461539	15
16	Medium	106.88492307692309	16
17	Medium	106.91523076923077	17
18	Medium	106.94553846153848	18
19	Medium	106.97584615384616	19
20	Medium	107.00615384615385	20
21	Medium	107.03646153846154	21
22	Medium	107.06676923076924	22
23	Medium	107.09707692307693	23
24	Medium	107.12738461538461	24
25	Medium	106.74409230769231	25
26	Medium	106.86240000000001	26
27	Medium	106.9807076923077	27
28	Medium	107.0990153846154	28
29	Medium	107.21732307692308	29
30	Hard	105.07173076923078	1
31	Hard	105.11653846153847	2
32	Hard	105.16134615384617	3
33	Hard	105.20615384615384	4
34	Hard	105.25096153846154	5
35	Hard	105.29576923076922	6
36	Hard	105.34057692307692	7
37	Hard	105.38538461538461	8
38	Hard	105.43019230769231	9
39	Hard	105.47500000000001	10
40	Hard	105.5198076923077	11
41	Hard	105.5646153846154	12
42	Hard	105.60942307692308	13
43	Hard	105.65423076923078	14
44	Hard	105.69903846153846	15
45	Hard	105.74384615384616	16
46	Hard	105.78865384615385	17
47	Hard	105.83346153846153	18
48	Hard	105.87826923076923	19
49	Hard	105.92307692307692	20
50	Hard	105.96788461538462	21
51	Hard	106.0126923076923	22
52	Hard	106.0575	23
Totale race tijd:	5654.982000000001
