Softrondetijd:	Mediumrondetijd:	Hardrondetijd	pitstoptijd	maxpitstops	totale ronden
103.15	103.4	103.7	23.0	2	52
ronde 	 rondetijd 	 bandtype 	 bandronde
0	Soft	106.15	0
1	Soft	106.2331076923077	1
2	Soft	106.31621538461539	2
3	Soft	106.39932307692308	3
4	Soft	106.48243076923077	4
5	Soft	106.56553846153847	5
6	Soft	106.64864615384617	6
7	Soft	106.73175384615385	7
8	Soft	106.81486153846154	8
9	Soft	106.89796923076923	9
10	Soft	106.98107692307693	10
11	Soft	107.06418461538462	11
12	Soft	107.14729230769231	12
13	Soft	107.2304	13
14	Soft	107.3135076923077	14
15	Medium	105.62961538461539	1
16	Medium	105.66692307692308	2
17	Medium	105.70423076923078	3
18	Medium	105.74153846153847	4
19	Medium	105.77884615384616	5
20	Medium	105.81615384615384	6
21	Medium	105.85346153846154	7
22	Medium	105.89076923076924	8
23	Medium	105.92807692307693	9
24	Medium	105.96538461538462	10
25	Medium	106.00269230769231	11
26	Medium	106.04	12
27	Medium	106.0773076923077	13
28	Medium	106.11461538461539	14
29	Medium	106.15192307692308	15
30	Medium	106.18923076923078	16
31	Medium	106.22653846153847	17
32	Medium	106.26384615384616	18
33	Medium	106.30115384615385	19
34	Medium	104.54296153846154	1
35	Medium	104.58976923076924	2
36	Medium	104.63657692307693	3
37	Medium	104.68338461538463	4
38	Medium	104.7301923076923	5
39	Medium	104.777	6
40	Medium	104.8238076923077	7
41	Medium	104.87061538461539	8
42	Medium	104.91742307692309	9
43	Medium	104.96423076923078	10
44	Medium	105.01103846153848	11
45	Medium	105.05784615384617	12
46	Medium	105.10465384615385	13
47	Medium	105.15146153846153	14
48	Medium	105.19826923076923	15
49	Medium	105.24507692307692	16
50	Medium	105.29188461538462	17
51	Medium	105.33869230769231	18
52	Medium	105.38550000000001	19
