Softrondetijd:	Mediumrondetijd:	Hardrondetijd	pitstoptijd	maxpitstops	totale ronden
75.2	75.6	75.7	23.0	2	72
ronde 	 bandentype 	 rondentijd 	 bandronde
0	Medium	78.6	0	78.6
1	Medium	78.65133333333333	1	157.25133333333332
2	Medium	78.70266666666667	2	235.954
3	Medium	78.75399999999999	3	314.70799999999997
4	Medium	78.80533333333332	4	393.5133333333333
5	Medium	78.85666666666667	5	472.37
6	Medium	78.908	6	551.278
7	Medium	78.95933333333332	7	630.2373333333334
8	Medium	79.01066666666667	8	709.248
9	Medium	79.062	9	788.3100000000001
10	Medium	79.11333333333333	10	867.4233333333334
11	Medium	79.16466666666666	11	946.5880000000001
12	Medium	79.216	12	1025.804
13	Medium	79.26733333333333	13	1105.0713333333333
14	Medium	79.31866666666667	14	1184.3899999999999
15	Medium	79.36999999999999	15	1263.7599999999998
16	Medium	79.42133333333332	16	1343.181333333333
17	Medium	79.47266666666667	17	1422.6539999999995
18	Medium	79.524	18	1502.1779999999994
19	Medium	79.57533333333332	19	1581.7533333333326
20	Medium	79.62666666666667	20	1661.3799999999992
21	Medium	79.678	21	1741.057999999999
22	Medium	79.72933333333333	22	1820.7873333333323
23	Medium	79.78066666666666	23	1900.5679999999988
24	Medium	79.832	24	1980.3999999999987
25	Medium	79.44623333333332	25	2059.846233333332
26	Medium	79.59056666666666	26	2139.4367999999986
27	Medium	102.7349	27	2242.1716999999985
28	Medium	77.53983333333332	1	2319.7115333333318
29	Medium	77.60466666666666	2	2397.3161999999984
30	Medium	77.6695	3	2474.9856999999984
31	Medium	77.73433333333332	4	2552.7200333333317
32	Medium	77.79916666666666	5	2630.5191999999984
33	Medium	77.86399999999999	6	2708.3831999999984
34	Medium	77.92883333333333	7	2786.312033333332
35	Medium	77.99366666666667	8	2864.3056999999985
36	Medium	78.0585	9	2942.3641999999986
37	Medium	78.12333333333332	10	3020.487533333332
38	Medium	78.18816666666666	11	3098.675699999999
39	Medium	78.253	12	3176.928699999999
40	Medium	78.31783333333333	13	3255.2465333333325
41	Medium	78.38266666666667	14	3333.6291999999994
42	Medium	78.44749999999999	15	3412.0766999999996
43	Medium	78.51233333333332	16	3490.5890333333327
44	Medium	78.57716666666667	17	3569.166199999999
45	Medium	78.642	18	3647.808199999999
46	Medium	78.70683333333332	19	3726.515033333332
47	Medium	78.77166666666666	20	3805.2866999999987
48	Medium	78.8365	21	3884.1231999999986
49	Medium	78.90133333333333	22	3963.024533333332
50	Medium	78.96616666666667	23	4041.9906999999985
51	Medium	102.03099999999999	24	4144.021699999998
52	Hard	76.65183333333333	1	4220.673533333332
53	Hard	76.72866666666667	2	4297.402199999999
54	Hard	76.80550000000001	3	4374.207699999999
55	Hard	76.88233333333334	4	4451.090033333332
56	Hard	76.95916666666668	5	4528.049199999999
57	Hard	77.036	6	4605.085199999999
58	Hard	77.11283333333333	7	4682.198033333332
59	Hard	77.18966666666667	8	4759.387699999999
60	Hard	77.26650000000001	9	4836.654199999999
61	Hard	77.34333333333333	10	4913.997533333332
62	Hard	77.42016666666667	11	4991.417699999999
63	Hard	77.497	12	5068.914699999999
64	Hard	77.57383333333333	13	5146.488533333332
65	Hard	77.65066666666668	14	5224.139199999999
66	Hard	77.7275	15	5301.866699999999
67	Hard	77.80433333333333	16	5379.671033333332
68	Hard	77.88116666666667	17	5457.552199999999
69	Hard	77.958	18	5535.510199999999
70	Hard	78.03483333333332	19	5613.545033333332
71	Hard	78.11166666666668	20	5691.656699999999
72	Hard	78.1885	21	5769.845199999999
