Softrondetijd:	Mediumrondetijd:	Hardrondetijd	pitstoptijd	maxpitstops	totale ronden
75.2	75.6	75.7	23.0	3	72
ronde 	 bandentype 	 rondentijd 	 bandronde
0	Soft	78.2	0	78.2
1	Soft	78.30713333333333	1	156.50713333333334
2	Soft	78.41426666666668	2	234.9214
3	Soft	78.5214	3	313.44280000000003
4	Soft	78.62853333333334	4	392.07133333333337
5	Soft	78.73566666666667	5	470.807
6	Soft	78.8428	6	549.6498
7	Soft	78.94993333333333	7	628.5997333333333
8	Soft	79.05706666666667	8	707.6568
9	Soft	79.16420000000001	9	786.821
10	Soft	79.27133333333333	10	866.0923333333334
11	Soft	79.37846666666667	11	945.4708
12	Soft	79.4856	12	1024.9564
13	Soft	79.59273333333333	13	1104.5491333333334
14	Soft	79.69986666666668	14	1184.249
15	Soft	102.807	15	1287.056
16	Medium	78.03383333333332	1	1365.0898333333334
17	Medium	78.09266666666666	2	1443.1825000000001
18	Medium	78.1515	3	1521.334
19	Medium	78.21033333333332	4	1599.5443333333333
20	Medium	78.26916666666666	5	1677.8135
21	Medium	78.32799999999999	6	1756.1415
22	Medium	78.38683333333333	7	1834.5283333333332
23	Medium	78.44566666666667	8	1912.974
24	Medium	78.5045	9	1991.4785
25	Medium	78.56333333333332	10	2070.041833333333
26	Medium	78.62216666666667	11	2148.6639999999998
27	Medium	78.681	12	2227.345
28	Medium	78.73983333333332	13	2306.0848333333333
29	Medium	78.79866666666666	14	2384.8835
30	Medium	78.85749999999999	15	2463.741
31	Medium	78.91633333333333	16	2542.657333333333
32	Medium	78.97516666666667	17	2621.6324999999997
33	Medium	79.03399999999999	18	2700.6665
34	Medium	79.09283333333332	19	2779.759333333333
35	Medium	102.15166666666667	20	2881.9109999999996
36	Medium	77.2105	1	2959.1214999999997
37	Medium	77.27933333333333	2	3036.400833333333
38	Medium	77.34816666666667	3	3113.749
39	Medium	77.41699999999999	4	3191.1659999999997
40	Medium	77.48583333333332	5	3268.651833333333
41	Medium	77.55466666666666	6	3346.2064999999993
42	Medium	77.62349999999999	7	3423.8299999999995
43	Medium	77.69233333333332	8	3501.522333333333
44	Medium	77.76116666666667	9	3579.2834999999995
45	Medium	77.83	10	3657.1134999999995
46	Medium	77.89883333333333	11	3735.0123333333327
47	Medium	77.96766666666666	12	3812.979999999999
48	Medium	78.03649999999999	13	3891.0164999999993
49	Medium	78.10533333333332	14	3969.1218333333327
50	Medium	78.17416666666666	15	4047.2959999999994
51	Medium	78.243	16	4125.539
52	Medium	78.31183333333333	17	4203.850833333333
53	Medium	78.38066666666667	18	4282.2315
54	Medium	101.4495	19	4383.681
55	Medium	76.42833333333333	1	4460.109333333333
56	Medium	76.50666666666666	2	4536.616
57	Medium	76.585	3	4613.201
58	Medium	76.66333333333333	4	4689.864333333333
59	Medium	76.74166666666666	5	4766.606
60	Medium	76.82	6	4843.4259999999995
61	Medium	76.89833333333333	7	4920.324333333333
62	Medium	76.97666666666666	8	4997.3009999999995
63	Medium	77.05499999999999	9	5074.356
64	Medium	77.13333333333333	10	5151.489333333333
65	Medium	77.21166666666666	11	5228.701
66	Medium	77.28999999999999	12	5305.991
67	Medium	77.36833333333333	13	5383.359333333333
68	Medium	77.44666666666667	14	5460.806
69	Medium	77.52499999999999	15	5538.330999999999
70	Medium	77.60333333333332	16	5615.934333333333
71	Medium	77.68166666666667	17	5693.615999999999
72	Medium	77.75999999999999	18	5771.375999999999
